"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.01",815.462121083251
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.025",826.619622410406
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.05",836.460133962041
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.1",850.262710931806
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.15",859.033690312279
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.2",867.456790218088
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.25",874.689971533888
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.3",881.824130797647
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.35",888.947682414796
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.4",896.862576349468
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.45",904.476997922474
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.5",911.129880856383
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.55",919.803601932934
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.6",926.780783434472
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.65",934.480536002276
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.7",943.021840584794
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.75",952.258826394092
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.8",961.632497853118
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.85",970.58194089287
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.9",983.120962072722
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.95",999.754077940247
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.975",1013.84699192319
2026-03-25,"ARI incidence",2026-03-08,-1,"BG","quantile","0.99",1029.93335937846
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.01",937.599850077298
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.025",939.969633453174
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.05",944.124090073135
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.1",953.460568184742
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.15",963.013509277293
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.2",971.388003247568
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.25",980.166505007275
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.3",988.454403067187
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.35",996.460738955997
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.4",1005.3306078418
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.45",1012.80373148227
2026-03-25,"ARI incidence",2026-03-08,-1,"CZ","quantile","0.5",1020.57388226955
